año,convocatoria,ejercicio,tema,tipo_ejercicio
2025,Junio,Ejercicio 5a,Redox,Pilas galvánicas: espontaneidad (ánodos de sacrificio)
2025,Junio,Ejercicio 5b,Redox,Electrolisis (constante de Faraday)
2025,Reserva 1,Ejercicio 3B,Redox,Ajuste reacciones redox medio ácido
2025,Reserva 2,Ejercicio 2A,Redox,Verdadero o falso
2025,Reserva 2,Ejercicio 3A,Redox,Electrolisis (constante de Faraday)
2025,Julio,Ejercicio 3B,Redox,Ajuste reacciones redox medio ácido
2024,Junio,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2024,Reserva 1,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2024,Reserva 2,Ejercicio B4,Redox,Pilas galvánicas: cálculo del potencial de la pila
2024,Reserva 2,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2024,Reserva 3,Ejercicio B5,Redox,Verdadero o falso
2024,Reserva 3,Ejercicio C2,Redox,Electrolisis (constante de Faraday)
2024,Reserva 4,Ejercicio B5,Redox,Pilas galvánicas: notación de la pila (se pregunta)
2024,Reserva 4,Ejercicio C4,Redox,Electrolisis (constante de Faraday)
2024,Julio,Ejercicio C4,Redox,Ajuste reacciones redox medio básico
2023,Junio,Ejercicio B5,Redox,¿Se formará hidrógeno gaseoso? / Pilas galvánicas: notación de la pila (se pregunta)
2023,Junio,Ejercicio C4,Redox,Electrolisis (constante de Faraday)
2023,Reserva 1,Ejercicio B2,Redox,Verdadero o falso
2023,Reserva 1,Ejercicio C2,Redox,Electrolisis (constante de Faraday)
2023,Reserva 2,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2023,Reserva 3,Ejercicio B4,Redox,Pilas galvánicas: cálculo del potencial de la pila
2023,Reserva 3,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2023,Reserva 4,Ejercicio C4,Redox,Ajuste reacciones redox medio básico
2023,Julio,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2022,Junio,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2022,Reserva 1,Ejercicio B4,Redox,Pilas galvánicas: notación de la pila (se pregunta)
2022,Reserva 1,Ejercicio C4,Redox,Ajuste reacciones redox medio básico
2022,Reserva 2,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2022,Reserva 3,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2022,Reserva 4,Ejercicio B5,Redox,Pilas galvánicas: espontaneidad / Pilas galvánicas: cálculo del potencial de la pila
2022,Reserva 4,Ejercicio C2,Redox,Electrolisis (constante de Faraday)
2022,Julio,Ejercicio B5,Redox,Pilas galvánicas: notación de la pila (como dato del ejercicio)
2022,Julio,Ejercicio C4,Redox,Electrolisis (constante de Faraday)
2021,Junio,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2021,Reserva 1,Ejercicio B5,Redox,Verdadero o falso
2021,Reserva 1,Ejercicio C2,Redox,Electrolisis (constante de Faraday)
2021,Reserva 2,Ejercicio B5,Redox,Pilas galvánicas: notación de la pila (se pregunta)
2021,Reserva 2,Ejercicio C4,Redox,Electrolisis (constante de Faraday)
2021,Reserva 3,Ejercicio B4,Redox,Verdadero o falso
2021,Reserva 3,Ejercicio C4,Redox,Ajuste reacciones redox medio básico
2021,Reserva 4,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2021,Julio,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2020,Junio,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2020,Reserva 1,Ejercicio B5,Redox,Pilas galvánicas: notación de la pila (se pregunta)
2020,Reserva 1,Ejercicio C4,Redox,Electrolisis (constante de Faraday)
2020,Reserva 2,Ejercicio B4,Redox,Pilas galvánicas: cálculo del potencial de la pila / Pilas galvánicas: notación de la pila (se pregunta)
2020,Reserva 2,Ejercicio C4,Redox,Ajuste reacciones redox medio básico
2020,Reserva 3,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2020,Reserva 4,Ejercicio B6,Redox,Pilas galvánicas: cálculo del potencial de la pila / ¿Se formará hidrógeno gaseoso?
2020,Reserva 4,Ejercicio C4,Redox,Ajuste reacciones redox medio ácido
2020,Septiembre,Ejercicio C2,Redox,Electrolisis (constante de Faraday)
2019,Junio,Ejercicio 6 Opción B,Redox,Ajuste reacciones redox medio ácido
2019,Reserva 1,Ejercicio 6 Opción A,Redox,Ajuste reacciones redox medio ácido
2019,Reserva 1,Ejercicio 6 Opción B,Redox,Electrolisis (constante de Faraday)
2019,Reserva 2,Ejercicio 6 Opción A,Redox,Electrolisis (constante de Faraday)
2019,Reserva 2,Ejercicio 6 Opción B,Redox,Ajuste reacciones redox medio ácido
2019,Reserva 3,Ejercicio 4 Opción A,Redox,Pilas galvánicas: cálculo del potencial de la pila / ¿Se formará hidrógeno gaseoso?
2019,Reserva 3,Ejercicio 6 Opción B,Redox,Ajuste reacciones redox medio básico
2019,Reserva 4,Ejercicio 3 Opción A,Redox,Pilas galvánicas: espontaneidad
2019,Reserva 4,Ejercicio 6 Opción B,Redox,Ajuste reacciones redox medio ácido
2019,Septiembre,Ejercicio 6 Opción A,Redox,Ajuste reacciones redox medio ácido
2019,Septiembre,Ejercicio 6 Opción B,Redox,Electrolisis (constante de Faraday)
2018,Junio,Ejercicio 3 Opción A,Redox,Pilas galvánicas: cálculo del potencial de la pila / ¿Se formará hidrógeno gaseoso?
2018,Junio,Ejercicio 6 Opción B,Redox,Ajuste reacciones redox medio ácido
2018,Reserva 1,Ejercicio 6 Opción B,Redox,Ajuste reacciones redox medio ácido
2018,Reserva 2,Ejercicio 6 Opción A,Redox,Ajuste reacciones redox medio básico
2018,Reserva 2,Ejercicio 6 Opción B,Redox,Electrolisis (constante de Faraday)
2018,Reserva 3,Ejercicio 6 Opción A,Redox,Ajuste reacciones redox medio ácido
2018,Reserva 3,Ejercicio 6 Opción B,Redox,Electrolisis (constante de Faraday)
2018,Reserva 4,Ejercicio 4 Opción A,Redox,Pilas galvánicas: cálculo del potencial de la pila
2018,Reserva 4,Ejercicio 6 Opción B,Redox,Ajuste reacciones redox medio ácido
2018,Septiembre,Ejercicio 6 Opción A,Redox,Electrolisis (constante de Faraday)
2018,Septiembre,Ejercicio 6 Opción B,Redox,Ajuste reacciones redox medio ácido
año,convocatoria,ejercicio,tema,tipo_ejercicio
2017,Junio,Opción A - Ejercicio 3,Redox,Espontaneidad de reacciones redox (cálculo de fem)
2017,Junio,Opción B - Ejercicio 6,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría
2017,Reserva 1,Opción A - Ejercicio 6,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (gases)
2017,Reserva 1,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday)
2017,Reserva 2,Opción B - Ejercicio 6,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (gases)
2017,Reserva 3,Opción A - Ejercicio 4,Redox,Pilas galvánicas: espontaneidad + cálculo de fem + notación de pila
2017,Reserva 3,Opción B - Ejercicio 6,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría
2017,Reserva 4,Opción A - Ejercicio 6,Redox,Electrolisis (ley de Faraday) + gases
2017,Reserva 4,Opción B - Ejercicio 6,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (pureza)
2017,Septiembre,Opción A - Ejercicio 6,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (gases)
2017,Septiembre,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday) + gases
2016,Junio,Opción A - Ejercicio 3,Redox,Pilas galvánicas: espontaneidad + cálculo de fem
2016,Junio,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday)
2016,Reserva 1,Opción A - Ejercicio 3,Redox,Verdadero o falso (pilas galvánicas)
2016,Reserva 1,Opción B - Ejercicio 6,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría
2016,Reserva 2,Opción A - Ejercicio 5,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría
2016,Reserva 3,Opción B - Ejercicio 3,Redox,Pilas galvánicas: notación de pila + cálculo de fem
2016,Septiembre,Opción B - Ejercicio 6,Redox,Espontaneidad de reacciones redox (¿se forma H₂?) + electrolisis (ley de Faraday)
2015,Junio,Opción A - Ejercicio 5,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría
2015,Reserva 1,Opción A - Ejercicio 3,Redox,Pilas galvánicas: espontaneidad + cálculo de fem
2015,Reserva 1,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday) + gases
2015,Reserva 2,Opción A - Ejercicio 5,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría
2015,Reserva 3,Opción B - Ejercicio 3,Redox,Ajuste por ión-electrón (medio ácido) + espontaneidad
2015,Reserva 4,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday) + gases
2015,Septiembre,Opción A - Ejercicio 3,Redox,Espontaneidad de reacciones redox (cálculo de fem)
2015,Septiembre,Opción B - Ejercicio 5,Redox,Ajuste por ión-electrón (medio básico) + estequiometría
2014,Junio,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday) + gases
2014,Reserva 1,Opción B - Ejercicio 3,Redox,Espontaneidad de reacciones redox (¿se forma H₂?)
2014,Reserva 2,Opción A - Ejercicio 5,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (gases)
2014,Reserva 3,Opción A - Ejercicio 3,Redox,Espontaneidad de reacciones redox (cálculo de fem)
2014,Reserva 3,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday)
2014,Reserva 4,Opción A - Ejercicio 3,Redox,Pilas galvánicas: espontaneidad + cálculo de fem
2014,Reserva 4,Opción B - Ejercicio 6,Redox,Ajuste por ión-electrón (medio básico) + estequiometría
2014,Septiembre,Opción A - Ejercicio 5,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (pureza)
2013,Junio,Opción A - Ejercicio 5,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (pureza)
2013,Reserva 1,Opción A - Ejercicio 5,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (gases)
2013,Reserva 2,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday) + cálculo de magnitudes atómicas
2013,Reserva 3,Opción B - Ejercicio 3,Redox,Espontaneidad de reacciones redox (cálculo de fem)
2013,Reserva 4,Opción A - Ejercicio 3,Redox,Pilas galvánicas: espontaneidad + cálculo de fem
2013,Reserva 4,Opción B - Ejercicio 6,Redox,Ajuste por ión-electrón (medio básico) + estequiometría
2013,Septiembre,Opción A - Ejercicio 3,Redox,Ajuste por ión-electrón (medio ácido) + identificación oxidante/reductor
2013,Septiembre,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday) + cálculo de magnitudes atómicas
2012,Junio,Opción A - Ejercicio 5,Redox,Ajuste por ión-electrón (medio básico) + estequiometría (pureza)
2012,Reserva 1,Opción A - Ejercicio 3,Redox,Ajuste por ión-electrón (medio ácido): varias reacciones
2012,Reserva 1,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday) + cálculo de estado de oxidación
2012,Reserva 2,Opción B - Ejercicio 3,Redox,Pilas galvánicas: notación de pila + cálculo de fem
2012,Reserva 3,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday) + cálculo de concentración
2012,Reserva 4,Opción A - Ejercicio 3,Redox,Espontaneidad de reacciones redox (cálculo de fem)
2012,Reserva 4,Opción B - Ejercicio 6,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (pureza)
2012,Septiembre,Opción A - Ejercicio 5,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría
2011,Junio,Opción B - Ejercicio 3,Redox,Espontaneidad de reacciones redox (¿se forma H₂?) + pilas galvánicas
2011,Reserva 1,Opción A - Ejercicio 5,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (gases + rendimiento)
2011,Reserva 2,Opción A - Ejercicio 5,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (pureza)
2011,Reserva 3,Opción A - Ejercicio 3,Redox,Pilas galvánicas: notación de pila + cálculo de fem
2011,Reserva 3,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday)
2011,Reserva 4,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday) + cálculo de concentración
2011,Septiembre,Opción A - Ejercicio 3,Redox,Espontaneidad de reacciones redox (cálculo de fem)
2011,Septiembre,Opción B - Ejercicio 6,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (concentración)
2010,Junio,Opción A - Ejercicio 5,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (gases)
2010,Reserva 1,Opción A - Ejercicio 3,Redox,Pilas galvánicas: espontaneidad + cálculo de fem
2010,Reserva 1,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday): cubas en serie
2010,Reserva 2,Opción A - Ejercicio 5,Redox,Ajuste por ión-electrón (medio básico) + estequiometría
2010,Reserva 3,Opción B - Ejercicio 6,Redox,Electrolisis (ley de Faraday) + cálculo de concentración
2010,Reserva 4,Opción A - Ejercicio 3,Redox,Espontaneidad de reacciones redox (¿se forma H₂?)
2010,Reserva 4,Opción B - Ejercicio 6,Redox,Ajuste por ión-electrón (medio ácido) + estequiometría (concentración)
2010,Septiembre,Opción B - Ejercicio 3,Redox,Identificación de reacciones redox + ajuste por ión-electrón

